areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,London,E12000007,2020-04-03,985,13134
region,London,E12000007,2020-04-02,1063,12149
region,London,E12000007,2020-04-01,977,11086
region,London,E12000007,2020-03-31,935,10109
region,London,E12000007,2020-03-30,848,9174
region,London,E12000007,2020-03-29,596,8326
region,London,E12000007,2020-03-28,577,7730
region,London,E12000007,2020-03-27,818,7153
region,London,E12000007,2020-03-26,740,6335
region,London,E12000007,2020-03-25,752,5595
region,London,E12000007,2020-03-24,636,4843
region,London,E12000007,2020-03-23,685,4207
region,London,E12000007,2020-03-22,439,3522
region,London,E12000007,2020-03-21,348,3083
region,London,E12000007,2020-03-20,424,2735
region,London,E12000007,2020-03-19,332,2311
region,London,E12000007,2020-03-18,357,1979
region,London,E12000007,2020-03-17,310,1622
region,London,E12000007,2020-03-16,237,1312
region,London,E12000007,2020-03-15,165,1075
region,London,E12000007,2020-03-14,149,910
region,London,E12000007,2020-03-13,138,761
region,London,E12000007,2020-03-12,167,623
region,London,E12000007,2020-03-11,183,456
region,London,E12000007,2020-03-10,95,273
region,London,E12000007,2020-03-09,54,178
region,London,E12000007,2020-03-08,22,124
region,London,E12000007,2020-03-07,14,102
region,London,E12000007,2020-03-06,23,88
region,London,E12000007,2020-03-05,13,65
region,London,E12000007,2020-03-04,15,52
region,London,E12000007,2020-03-03,6,37
region,London,E12000007,2020-03-02,12,31
region,London,E12000007,2020-03-01,3,19
region,London,E12000007,2020-02-29,1,16
region,London,E12000007,2020-02-28,0,15
region,London,E12000007,2020-02-27,1,15
region,London,E12000007,2020-02-26,0,14
region,London,E12000007,2020-02-25,1,14
region,London,E12000007,2020-02-24,1,13
region,London,E12000007,2020-02-23,3,12
region,London,E12000007,2020-02-22,0,9
region,London,E12000007,2020-02-21,1,9
region,London,E12000007,2020-02-20,0,8
region,London,E12000007,2020-02-19,0,8
region,London,E12000007,2020-02-18,0,8
region,London,E12000007,2020-02-17,1,8
region,London,E12000007,2020-02-16,0,7
region,London,E12000007,2020-02-15,0,7
region,London,E12000007,2020-02-14,0,7
region,London,E12000007,2020-02-13,1,7
region,London,E12000007,2020-02-12,0,6
region,London,E12000007,2020-02-11,4,6
region,London,E12000007,2020-02-10,1,2
region,London,E12000007,2020-02-09,0,1
region,London,E12000007,2020-02-08,0,1
region,London,E12000007,2020-02-07,0,1
region,London,E12000007,2020-02-06,0,1
region,London,E12000007,2020-02-05,0,1
region,London,E12000007,2020-02-04,0,1
region,London,E12000007,2020-02-03,1,1